time,open,high,low,close,volume,symbol
2006-12-25,12.4,12.4,12.4,12.4,9000,ABT
2006-12-26,12.4,13.02,13.02,13.02,6000,ABT
2006-12-27,13.02,13.64,13.64,13.64,1000,ABT
2006-12-28,13.64,14.19,14.19,14.19,3800,ABT
2006-12-29,14.19,14.88,14.47,14.88,51250,ABT
2007-01-02,14.88,15.57,15.57,15.57,42030,ABT
2007-01-03,15.57,16.26,15.98,15.98,111590,ABT
2007-01-04,15.98,16.67,16.26,16.67,42780,ABT
2007-01-05,16.67,16.67,16.26,16.26,25380,ABT
2007-01-08,16.26,16.95,16.95,16.95,104230,ABT
2007-01-09,16.95,17.77,17.5,17.77,30180,ABT
2007-01-10,17.77,18.6,17.91,17.91,29720,ABT
2007-01-11,17.91,17.91,17.64,17.91,17810,ABT
2007-01-12,17.91,18.32,17.64,18.32,11170,ABT
2007-01-15,18.32,19.15,18.88,19.15,25350,ABT
2007-01-16,19.15,19.98,19.98,19.98,71080,ABT
2007-01-17,19.98,20.94,19.01,19.01,56860,ABT
2007-01-18,19.01,19.29,19.01,19.29,33560,ABT
2007-01-19,19.29,20.25,19.84,20.25,23860,ABT
2007-01-22,20.25,19.29,19.29,19.29,9140,ABT
2007-01-23,19.29,18.6,18.32,18.32,22580,ABT
2007-01-24,18.32,18.32,17.91,17.91,18640,ABT
2007-01-25,17.91,17.5,17.08,17.08,6470,ABT
2007-01-26,17.08,17.91,17.91,17.91,6670,ABT
2007-01-29,17.91,18.74,17.64,18.74,12430,ABT
2007-01-30,18.74,19.56,19.29,19.29,68650,ABT
2007-01-31,19.29,19.98,19.01,19.01,20540,ABT
2007-02-01,19.01,19.84,19.29,19.29,25830,ABT
2007-02-02,19.29,19.29,19.29,19.29,15140,ABT
2007-02-05,19.29,19.29,18.32,19.29,18120,ABT
2007-02-06,19.29,19.56,18.88,19.29,16400,ABT
2007-02-07,19.29,19.01,18.74,19.01,24170,ABT
2007-02-08,19.01,19.15,18.19,18.19,17810,ABT
2007-02-09,18.19,18.19,17.91,18.05,16100,ABT
2007-02-12,18.05,18.88,18.6,18.88,34050,ABT
2007-02-13,18.88,19.29,19.15,19.15,24030,ABT
2007-02-14,19.15,19.15,18.32,19.15,27690,ABT
2007-02-15,19.15,19.7,19.15,19.7,24660,ABT
2007-02-26,19.7,20.67,20.67,20.67,24820,ABT
2007-02-27,20.67,21.63,21.63,21.63,62370,ABT
2007-02-28,21.63,21.63,20.67,20.67,51270,ABT
2007-03-01,20.67,20.67,20.67,20.67,25310,ABT
2007-03-02,20.67,20.67,20.67,20.67,18660,ABT
2007-03-05,20.67,21.08,20.94,20.94,30440,ABT
2007-03-06,20.94,20.94,20.25,20.25,34340,ABT
2007-03-07,20.25,20.25,19.29,19.29,35570,ABT
2007-03-08,19.29,20.25,20.25,20.25,27820,ABT
2007-03-09,20.25,21.08,20.67,20.67,28380,ABT
2007-03-12,20.67,20.94,20.25,20.25,19150,ABT
2007-03-13,20.25,20.25,19.98,19.98,18310,ABT
2007-03-14,19.98,20.8,19.98,19.98,42970,ABT
2007-03-15,19.98,19.29,19.01,19.01,9550,ABT
2007-03-16,19.01,19.84,19.01,19.84,18390,ABT
2007-03-19,19.84,19.84,19.84,19.84,14640,ABT
2007-03-20,19.84,19.84,19.29,19.29,19500,ABT
2007-03-21,19.29,19.29,19.01,19.01,10390,ABT
2007-03-22,19.01,19.01,18.19,18.19,45200,ABT
2007-03-23,18.19,17.91,17.36,17.36,45920,ABT
2007-03-26,17.36,18.19,17.36,17.36,26950,ABT
2007-03-27,17.36,17.36,16.95,16.95,17780,ABT
2007-03-28,16.95,17.22,16.12,17.22,28600,ABT
2007-03-29,17.22,17.91,17.36,17.91,24420,ABT
2007-03-30,17.91,17.77,17.64,17.77,17460,ABT
2007-04-02,17.77,16.95,16.95,16.95,14510,ABT
2007-04-03,16.95,16.95,16.95,16.95,55340,ABT
2007-04-04,16.95,17.08,16.95,17.08,21900,ABT
2007-04-05,17.08,17.08,16.67,16.67,12910,ABT
2007-04-06,16.67,16.67,16.4,16.4,11980,ABT
2007-04-09,16.4,16.26,15.98,16.26,17050,ABT
2007-04-10,16.26,16.26,15.98,16.26,20720,ABT
2007-04-11,16.26,16.53,16.53,16.53,14330,ABT
2007-04-12,16.53,16.26,15.98,15.98,15520,ABT
2007-04-13,15.98,15.98,15.57,15.57,58320,ABT
2007-04-16,15.57,15.16,14.88,14.88,27450,ABT
2007-04-17,14.88,14.47,14.19,14.33,20710,ABT
2007-04-18,14.33,15.02,14.88,15.02,7070,ABT
2007-04-19,15.02,15.71,15.02,15.02,19500,ABT
2007-04-20,15.02,15.02,14.33,14.33,12760,ABT
2007-04-23,14.33,14.33,13.78,13.78,30760,ABT
2007-04-24,13.78,13.78,13.5,13.64,11350,ABT
2007-04-25,13.64,13.78,13.64,13.78,12010,ABT
2007-05-02,13.78,13.09,13.09,13.09,80390,ABT
2007-05-03,13.09,13.5,13.36,13.5,8190,ABT
2007-05-04,13.5,13.5,13.5,13.5,6920,ABT
