time,open,high,low,close,volume,symbol
2016-12-22,9.26,9.26,9.26,9.26,11000,ANT
2016-12-23,10.64,10.64,10.64,10.64,4700,ANT
2016-12-26,11.5,11.5,11.5,11.5,3700,ANT
2016-12-27,9.78,9.78,9.78,9.78,800,ANT
2016-12-28,9.26,9.26,8.34,9.2,4400,ANT
2016-12-29,8.63,9.2,8.63,9.2,600,ANT
2016-12-30,9.2,9.2,9.2,9.2,1000,ANT
2017-01-03,9.2,9.2,9.2,9.2,0,ANT
2017-01-04,8.63,8.63,8.63,8.63,300,ANT
2017-01-05,8.63,8.63,8.63,8.63,0,ANT
2017-01-06,8.63,8.63,8.63,8.63,0,ANT
2017-01-09,8.63,8.63,8.63,8.63,0,ANT
2017-01-10,8.63,8.63,8.63,8.63,0,ANT
2017-01-11,8.63,8.63,8.63,8.63,2000,ANT
2017-01-12,8.63,8.63,8.63,8.63,0,ANT
2017-01-13,8.63,8.63,8.63,8.63,0,ANT
2017-01-16,8.63,8.63,8.63,8.63,0,ANT
2017-01-17,8.63,8.63,8.63,8.63,0,ANT
2017-01-18,8.63,8.63,8.63,8.63,0,ANT
2017-01-19,8.63,8.63,8.63,8.63,0,ANT
2017-01-20,8.63,8.63,8.63,8.63,0,ANT
2017-01-23,8.63,8.63,8.63,8.63,0,ANT
2017-01-24,8.63,8.63,8.63,8.63,0,ANT
2017-01-25,8.34,8.4,8.34,8.4,8000,ANT
2017-02-02,8.05,8.05,8.05,8.05,300,ANT
2017-02-03,8.05,8.05,8.05,8.05,0,ANT
2017-02-06,8.05,8.63,8.05,8.63,3000,ANT
2017-02-07,8.05,8.05,8.05,8.05,200,ANT
2017-02-08,8.05,8.05,8.05,8.05,0,ANT
2017-02-09,8.05,8.05,8.05,8.05,0,ANT
2017-02-10,7.77,7.77,7.77,7.77,500,ANT
2017-02-13,7.77,7.77,7.77,7.77,0,ANT
2017-02-14,7.77,7.77,7.77,7.77,0,ANT
2017-02-15,7.77,7.77,7.77,7.77,0,ANT
2017-02-16,7.77,7.77,7.77,7.77,0,ANT
2017-02-17,7.77,7.77,7.77,7.77,200,ANT
2017-02-20,8.05,8.05,8.05,8.05,5100,ANT
2017-02-21,7.77,7.77,7.77,7.77,600,ANT
2017-02-22,7.77,7.77,7.77,7.77,0,ANT
2017-02-23,7.77,7.77,7.77,7.77,0,ANT
2017-02-24,7.77,7.77,7.77,7.77,0,ANT
2017-02-27,7.77,7.77,7.77,7.77,0,ANT
2017-02-28,7.77,7.77,7.77,7.77,0,ANT
2017-03-01,7.77,7.77,7.77,7.77,2100,ANT
2017-03-02,7.77,7.77,7.77,7.77,0,ANT
2017-03-03,7.71,7.71,7.71,7.71,4000,ANT
2017-03-06,7.59,7.59,7.59,7.59,1200,ANT
2017-03-07,7.71,7.71,7.71,7.71,2050,ANT
2017-03-08,8.05,8.05,8.05,8.05,100,ANT
2017-03-09,8.05,8.05,8.05,8.05,0,ANT
2017-03-10,8.05,8.05,8.05,8.05,0,ANT
2017-03-13,7.48,7.48,7.48,7.48,31800,ANT
