time,open,high,low,close,volume,symbol
2007-12-07,11.15,11.15,9.93,9.93,410510,ANV
2007-12-10,10.04,10.34,10.04,10.34,83910,ANV
2007-12-11,10.75,10.75,10.34,10.34,91790,ANV
2007-12-12,10.34,10.34,10.14,10.24,58970,ANV
2007-12-13,10.04,10.04,9.73,9.73,79790,ANV
2007-12-14,9.73,9.83,9.68,9.68,59800,ANV
2007-12-17,9.58,9.58,9.33,9.33,46960,ANV
2007-12-18,9.07,9.33,9.07,9.17,47530,ANV
2007-12-19,9.38,9.63,9.33,9.48,54080,ANV
2007-12-20,9.58,9.58,9.33,9.33,34730,ANV
2007-12-21,9.22,9.33,9.22,9.28,30350,ANV
2007-12-24,9.28,9.33,9.22,9.22,41060,ANV
2007-12-25,9.22,9.28,9.12,9.28,81940,ANV
2007-12-26,8.77,9.22,8.77,9.22,48650,ANV
2007-12-27,9.02,9.12,9.02,9.12,69360,ANV
2007-12-28,9.12,9.17,9.12,9.12,35830,ANV
2008-01-02,9.22,9.22,8.92,8.92,27230,ANV
2008-01-03,8.92,8.92,8.72,8.92,104800,ANV
2008-01-04,8.92,8.92,8.77,8.92,59020,ANV
2008-01-07,8.82,8.82,8.52,8.57,24710,ANV
2008-01-08,8.41,8.97,8.41,8.97,75010,ANV
2008-01-09,8.82,8.97,8.72,8.97,130910,ANV
2008-01-10,8.77,9.38,8.77,9.38,202270,ANV
2008-01-11,9.38,9.53,9.33,9.33,92930,ANV
2008-01-14,8.97,9.07,8.97,8.97,43000,ANV
2008-01-15,9.12,9.12,8.62,8.62,52150,ANV
2008-01-16,8.97,9.02,8.92,9.02,49180,ANV
2008-01-17,9.12,9.12,8.77,8.82,34360,ANV
2008-01-18,8.72,9.02,8.72,8.92,33110,ANV
2008-01-21,8.92,8.92,8.72,8.72,19830,ANV
2008-01-22,8.62,8.72,8.62,8.72,29900,ANV
2008-01-23,8.46,8.46,8.31,8.36,46850,ANV
2008-01-24,8.46,8.52,8.26,8.26,37680,ANV
2008-01-25,8.26,8.41,8.26,8.36,64210,ANV
2008-01-28,8.52,8.52,8.41,8.41,82860,ANV
2008-01-29,8.36,8.62,8.36,8.62,59660,ANV
2008-01-30,8.82,9.02,8.82,8.97,167950,ANV
2008-01-31,8.57,8.92,8.57,8.57,168790,ANV
2008-02-01,8.62,8.82,8.57,8.82,67390,ANV
2008-02-12,8.92,8.97,8.52,8.62,56190,ANV
2008-02-13,8.62,8.62,8.52,8.52,37410,ANV
2008-02-14,8.67,8.72,8.52,8.52,57250,ANV
2008-02-15,8.52,8.52,8.41,8.52,29860,ANV
2008-02-18,8.21,8.21,8.11,8.11,107840,ANV
2008-02-19,8.01,8.16,8.01,8.11,85570,ANV
2008-02-20,8.11,8.11,7.81,7.91,112540,ANV
2008-02-21,7.55,7.6,7.55,7.55,79410,ANV
2008-02-22,7.2,7.25,7.2,7.25,97210,ANV
2008-02-25,7.5,7.6,7.45,7.6,52490,ANV
2008-02-26,7.6,7.55,7.25,7.25,178520,ANV
2008-02-27,7.05,7.4,6.99,6.99,58250,ANV
2008-02-28,7.15,7.15,6.89,6.99,33750,ANV
2008-02-29,6.89,7.3,6.79,7.3,233120,ANV
2008-03-03,7.3,7.3,6.94,6.99,66340,ANV
2008-03-04,6.74,6.79,6.69,6.74,207480,ANV
2008-03-05,6.49,6.59,6.44,6.44,213560,ANV
2008-03-06,6.74,6.74,6.74,6.74,3950,ANV
2008-03-07,7.05,7.05,7.05,7.05,173780,ANV
2008-03-10,7.35,7.35,6.99,7.35,194590,ANV
2008-03-11,6.99,7.3,6.99,6.99,64100,ANV
2008-03-12,6.99,7.2,6.84,6.84,46590,ANV
2008-03-13,6.99,6.89,6.59,6.84,51230,ANV
2008-03-14,6.74,6.84,6.59,6.64,27250,ANV
2008-03-17,6.39,6.39,6.34,6.34,64380,ANV
2008-03-18,6.03,6.03,6.03,6.03,97320,ANV
2008-03-19,6.18,6.28,5.98,6.28,173220,ANV
2008-03-20,6.34,6.34,5.98,5.98,21410,ANV
2008-03-21,5.73,5.83,5.73,5.73,53550,ANV
2008-03-24,5.47,5.47,5.47,5.47,38490,ANV
2008-03-25,5.22,5.22,5.22,5.22,50210,ANV
2008-03-26,4.97,5.22,4.97,5.22,129430,ANV
2008-03-27,5.27,5.27,5.27,5.27,21300,ANV
2008-03-28,5.22,5.22,5.22,5.22,12100,ANV
2008-03-31,5.27,5.27,5.27,5.27,5900,ANV
2008-04-01,5.32,5.32,5.32,5.32,9200,ANV
