time,open,high,low,close,volume,symbol
2017-03-24,10.78,10.78,10.78,10.78,100,BAX
2017-03-27,11.86,11.86,11.86,11.86,100,BAX
2017-03-28,13.03,13.03,10.83,10.83,13800,BAX
2017-03-29,10.83,11.66,9.76,11.66,1200,BAX
2017-03-30,10.59,10.59,10.59,10.59,100,BAX
2017-03-31,9.56,9.56,9.56,9.56,2300,BAX
2017-04-03,9.56,9.56,9.56,9.56,0,BAX
2017-04-04,10.49,10.49,9.27,9.27,8800,BAX
2017-04-05,8.34,9.27,8.34,9.27,1500,BAX
2017-04-07,9.27,10.0,9.27,10.0,8400,BAX
2017-04-10,10.25,10.98,10.25,10.98,1400,BAX
2017-04-11,11.37,11.37,11.37,11.37,100,BAX
2017-04-12,10.98,10.98,10.98,10.98,3000,BAX
2017-04-13,9.9,9.9,9.9,9.9,300,BAX
2017-04-14,9.9,9.9,8.93,8.93,200,BAX
2017-04-17,9.76,9.76,9.76,9.76,300,BAX
2017-04-18,9.76,9.76,9.76,9.76,0,BAX
2017-04-19,9.76,9.76,9.76,9.76,0,BAX
2017-04-20,9.76,9.76,9.76,9.76,0,BAX
2017-04-21,9.32,9.32,9.32,9.32,100,BAX
2017-04-24,8.98,8.98,8.98,8.98,100,BAX
2017-04-25,9.37,9.37,9.37,9.37,100,BAX
2017-04-26,9.37,9.37,9.37,9.37,0,BAX
2017-04-27,9.61,10.29,9.61,10.29,800,BAX
2017-04-28,10.29,10.29,10.29,10.29,0,BAX
2017-05-03,10.29,10.29,10.29,10.29,0,BAX
2017-05-04,10.29,10.29,10.29,10.29,0,BAX
2017-05-05,10.29,10.29,10.29,10.29,0,BAX
2017-05-08,10.29,10.29,10.29,10.29,0,BAX
2017-05-09,9.56,9.56,9.56,9.56,100,BAX
2017-05-10,9.56,9.56,9.56,9.56,0,BAX
2017-05-11,9.76,9.76,9.76,9.76,6300,BAX
2017-05-12,9.76,9.76,9.76,9.76,200,BAX
2017-05-15,9.76,9.76,9.76,9.76,100,BAX
2017-05-16,9.76,9.76,9.76,9.76,0,BAX
2017-05-17,10.64,10.64,10.64,10.64,100,BAX
2017-05-18,10.64,10.64,10.64,10.64,0,BAX
2017-05-19,10.64,10.64,10.64,10.64,0,BAX
2017-05-22,10.64,10.98,10.64,10.98,500,BAX
2017-05-23,10.98,10.98,10.98,10.98,0,BAX
2017-05-24,10.98,10.98,10.98,10.98,0,BAX
2017-05-25,10.98,10.98,10.98,10.98,0,BAX
2017-05-26,10.98,10.98,10.98,10.98,0,BAX
2017-05-29,10.98,10.98,10.98,10.98,0,BAX
2017-05-30,11.66,11.66,11.66,11.66,100,BAX
2017-05-31,11.66,11.66,11.66,11.66,0,BAX
2017-06-01,11.66,11.66,11.66,11.66,0,BAX
2017-06-02,11.66,11.66,11.66,11.66,0,BAX
2017-06-05,11.66,11.66,11.66,11.66,0,BAX
2017-06-06,11.66,11.66,11.66,11.66,0,BAX
2017-06-07,11.76,11.76,11.76,11.76,1500,BAX
2017-06-08,11.76,11.76,11.76,11.76,0,BAX
2017-06-09,11.76,11.76,11.76,11.76,100,BAX
2017-06-12,11.76,11.76,11.76,11.76,0,BAX
2017-06-13,11.76,11.76,11.76,11.76,0,BAX
2017-06-14,11.76,11.76,11.76,11.76,0,BAX
2017-06-15,11.76,11.76,11.76,11.76,0,BAX
2017-06-16,11.76,11.76,11.76,11.76,0,BAX
2017-06-19,11.76,11.76,11.76,11.76,0,BAX
2017-06-20,11.52,11.52,11.52,11.52,1000,BAX
2017-06-21,11.52,11.52,11.52,11.52,0,BAX
