time,open,high,low,close,volume,symbol
2010-01-29,4.6,4.6,3.38,3.38,5300,BDB
2010-02-01,3.65,3.65,3.31,3.31,700,BDB
2010-02-02,3.62,3.62,3.62,3.62,700,BDB
2010-02-03,3.68,3.68,3.68,3.68,1000,BDB
2010-02-04,3.68,3.68,3.68,3.68,1000,BDB
2010-02-05,3.68,3.68,3.68,3.68,0,BDB
2010-02-08,3.44,3.44,3.44,3.44,300,BDB
2010-02-09,3.44,3.44,3.44,3.44,0,BDB
2010-02-10,3.44,3.44,3.44,3.44,0,BDB
2010-02-11,3.62,3.62,3.62,3.62,300,BDB
2010-02-12,3.62,3.62,3.62,3.62,0,BDB
2010-02-22,3.62,3.62,3.62,3.62,0,BDB
2010-02-23,3.62,3.62,3.62,3.62,0,BDB
2010-02-24,3.38,3.38,3.38,3.38,100,BDB
2010-02-25,3.38,3.38,3.38,3.38,0,BDB
2010-02-26,3.38,3.38,3.38,3.38,0,BDB
2010-03-01,3.22,3.22,3.22,3.22,100,BDB
2010-03-02,3.07,3.07,3.07,3.07,200,BDB
2010-03-03,2.85,2.85,2.85,2.85,300,BDB
2010-03-04,2.85,2.85,2.85,2.85,0,BDB
2010-03-05,2.85,2.85,2.85,2.85,0,BDB
2010-03-08,2.85,2.85,2.85,2.85,100,BDB
2010-03-09,2.85,3.04,2.73,2.73,2200,BDB
2010-03-10,2.73,2.73,2.73,2.73,0,BDB
2010-03-11,2.95,2.95,2.95,2.95,2000,BDB
2010-03-12,2.95,2.95,2.95,2.95,0,BDB
2010-03-15,3.04,3.04,3.04,3.04,1500,BDB
2010-03-16,3.07,3.07,3.07,3.07,1600,BDB
2010-03-17,3.1,3.1,3.1,3.1,300,BDB
2010-03-18,3.1,3.1,3.1,3.1,400,BDB
2010-03-19,3.1,3.1,3.1,3.1,0,BDB
2010-03-22,3.1,3.1,3.1,3.1,0,BDB
2010-03-23,3.1,3.1,3.1,3.1,0,BDB
2010-03-24,3.1,3.1,3.1,3.1,100,BDB
2010-03-25,3.1,3.1,3.1,3.1,0,BDB
2010-03-26,3.1,3.1,3.1,3.1,0,BDB
2010-03-29,2.88,2.88,2.88,2.88,2000,BDB
2010-03-30,2.88,2.88,2.88,2.88,0,BDB
2010-03-31,3.07,3.07,3.07,3.07,1500,BDB
2010-04-01,3.07,3.07,3.07,3.07,500,BDB
2010-04-02,2.85,2.85,2.85,2.85,200,BDB
2010-04-05,3.04,3.04,3.04,3.04,1000,BDB
2010-04-06,3.22,3.22,3.07,3.07,400,BDB
2010-04-07,3.07,3.07,3.07,3.07,0,BDB
2010-04-08,3.07,3.07,3.07,3.07,500,BDB
2010-04-09,3.07,3.07,3.07,3.07,0,BDB
2010-04-12,3.07,3.07,2.88,2.88,1100,BDB
2010-04-13,2.92,2.92,2.92,2.92,400,BDB
2010-04-14,2.88,2.88,2.79,2.85,3100,BDB
2010-04-15,2.79,2.82,2.79,2.79,4000,BDB
2010-04-16,2.79,2.82,2.79,2.82,6000,BDB
2010-04-19,3.01,3.01,3.01,3.01,5300,BDB
2010-04-20,3.19,3.19,3.07,3.19,13000,BDB
2010-04-21,3.35,3.35,3.35,3.35,21000,BDB
2010-04-22,3.56,3.56,3.13,3.5,6500,BDB
2010-04-26,3.07,3.44,3.07,3.44,300,BDB
2010-04-27,3.44,3.44,3.13,3.13,7200,BDB
2010-04-28,3.13,3.13,3.07,3.07,2700,BDB
2010-04-29,3.01,3.01,3.01,3.01,100,BDB
2010-05-04,3.19,3.19,3.07,3.19,13800,BDB
2010-05-05,3.16,3.16,3.16,3.16,2000,BDB
2010-05-06,3.38,3.38,3.35,3.38,8200,BDB
2010-05-07,3.59,3.59,3.59,3.59,12300,BDB
2010-05-10,3.84,3.84,3.84,3.84,6200,BDB
2010-05-11,4.08,4.08,4.08,4.08,5600,BDB
2010-05-12,4.36,4.36,3.84,4.14,21900,BDB
2010-05-13,3.99,3.99,3.96,3.96,4600,BDB
2010-05-14,3.68,3.68,3.68,3.68,5000,BDB
2010-05-17,3.47,3.68,3.47,3.47,2800,BDB
2010-05-18,3.31,3.38,3.31,3.38,1900,BDB
2010-05-19,3.53,3.53,3.53,3.53,500,BDB
2010-05-20,3.74,3.77,3.74,3.77,4100,BDB
2010-05-21,3.53,3.62,3.53,3.53,5500,BDB
2010-05-24,3.68,3.68,3.68,3.68,100,BDB
2010-05-25,3.68,3.68,3.68,3.68,0,BDB
2010-05-26,3.68,3.68,3.68,3.68,0,BDB
2010-05-27,3.44,3.47,3.44,3.47,3200,BDB
2010-05-28,3.65,3.65,3.53,3.53,3800,BDB
2010-05-31,3.68,3.77,3.68,3.77,5200,BDB
2010-06-01,3.99,3.99,3.87,3.87,1100,BDB
2010-06-02,4.11,4.11,3.84,3.84,700,BDB
2010-06-03,4.11,4.11,3.62,3.62,2400,BDB
2010-06-04,3.84,3.84,3.44,3.44,300,BDB
2010-06-07,3.38,3.38,3.38,3.38,2400,BDB
2010-06-08,3.25,3.25,3.16,3.16,5200,BDB
2010-06-09,3.22,3.38,3.22,3.38,400,BDB
2010-06-10,3.16,3.38,3.07,3.38,2700,BDB
2010-06-11,3.38,3.38,3.38,3.38,0,BDB
2010-06-14,3.41,3.41,3.41,3.41,100,BDB
2010-06-15,3.56,3.56,3.47,3.47,1100,BDB
2010-06-16,3.31,3.31,3.31,3.31,800,BDB
2010-06-17,3.31,3.31,3.31,3.31,0,BDB
2010-06-18,3.47,3.47,3.47,3.47,500,BDB
2010-06-21,3.56,3.56,3.38,3.47,4800,BDB
2010-06-22,3.56,3.56,3.47,3.5,1000,BDB
2010-06-23,3.53,3.53,3.38,3.38,700,BDB
2010-06-24,3.71,3.71,3.65,3.65,1300,BDB
2010-06-25,3.68,3.68,3.47,3.47,1500,BDB
2010-06-28,3.31,3.31,3.31,3.31,1000,BDB
2010-06-29,3.38,3.38,3.38,3.38,1100,BDB
2010-06-30,3.38,3.38,3.38,3.38,0,BDB
2010-07-01,3.25,3.25,3.25,3.25,300,BDB
2010-07-02,3.38,3.44,3.38,3.44,700,BDB
2010-07-05,3.53,3.59,3.53,3.56,5900,BDB
2010-07-06,3.5,3.5,3.5,3.5,500,BDB
2010-07-07,3.5,3.5,3.5,3.5,0,BDB
2010-07-08,3.5,3.5,3.5,3.5,0,BDB
2010-07-09,3.38,3.59,3.38,3.59,500,BDB
2010-07-12,3.44,3.53,3.44,3.53,1300,BDB
2010-07-13,3.31,3.68,3.31,3.68,1000,BDB
2010-07-14,3.68,3.68,3.68,3.68,2200,BDB
2010-07-15,3.68,3.68,3.68,3.68,3000,BDB
2010-07-16,3.68,3.68,3.68,3.68,2300,BDB
2010-07-19,3.62,3.71,3.53,3.68,5400,BDB
2010-07-20,3.71,3.9,3.71,3.74,8600,BDB
2010-07-21,3.77,3.81,3.77,3.77,900,BDB
2010-07-22,3.71,3.71,3.68,3.68,1000,BDB
2010-07-23,3.65,3.74,3.65,3.74,1100,BDB
2010-07-26,3.59,3.59,3.59,3.59,300,BDB
2010-07-27,3.68,3.68,3.68,3.68,600,BDB
2010-07-28,3.81,3.81,3.81,3.81,100,BDB
2010-07-29,3.81,3.81,3.81,3.81,0,BDB
2010-07-30,3.81,3.81,3.77,3.77,800,BDB
2010-08-02,3.77,3.77,3.77,3.77,0,BDB
2010-08-03,3.77,3.77,3.77,3.77,500,BDB
